종목코드,기업,현재가,시총(억),네이버업종,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
000880,한화,137300.0,73221.0,,컨센서스 없음 → 산출불가,1,K신재생에너지,3.25,미분류,-,한화,,보류,컨센서스 없음,,2026-09-13
277810,레인보우로보틱스,436000.0,84583.0,,컨센서스 없음 → 산출불가,1,코스닥,3.15,로봇·산업재,로봇,레인보우로보틱스,,보류,컨센서스 없음,,2026-09-13
071050,한국금융지주,193600.0,107886.0,,컨센서스 없음 → 산출불가,1,Korea플러스배당,2.93,금융,증권,한국금융지주,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-13
064290,인텍플러스,48850.0,6330.0,,컨센서스 없음 → 산출불가,1,코스닥,2.92,반도체,검사·계측,인텍플러스,,보류,컨센서스 없음,,2026-09-13
086520,에코프로,84400.0,114595.0,,컨센서스 없음 → 산출불가,1,코스닥,2.89,2차전지·에너지,소재,에코프로,,보류,컨센서스 없음,,2026-09-13
039490,키움증권,278000.0,72915.0,,컨센서스 없음 → 산출불가,1,Korea플러스배당,2.8,금융,증권,키움증권,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-13
080220,제주반도체,75200.0,25901.0,,컨센서스 없음 → 산출불가,1,코스닥,2.8,반도체,메모리,제주반도체,,보류,컨센서스 없음,,2026-09-13
020150,롯데에너지머티리얼즈,42200.0,22098.0,,컨센서스 없음 → 산출불가,1,K신재생에너지,2.61,미분류,-,롯데에너지머티리얼즈,,보류,컨센서스 없음,,2026-09-13
241710,코스메카코리아,125700.0,13425.0,,컨센서스 없음 → 산출불가,1,K컬처,2.48,화장품·뷰티,ODM,코스메카코리아,,보류,컨센서스 없음,,2026-09-13
456160,지투지바이오,33000.0,5488.0,,컨센서스 없음 → 산출불가,1,K바이오,2.29,바이오·헬스케어,신약·플랫폼,지투지바이오,,보류,컨센서스 없음,,2026-09-13
214150,클래시스,32050.0,20908.0,,컨센서스 없음 → 산출불가,1,K컬처,2.17,바이오·헬스케어,미용의료·의료기기,클래시스,,보류,컨센서스 없음,,2026-09-13
458870,씨어스,24000.0,9203.0,,컨센서스 없음 → 산출불가,1,K바이오,2.11,바이오·헬스케어,미용의료·의료기기,씨어스,,보류,컨센서스 없음,,2026-09-13
024110,기업은행,20850.0,166263.0,,컨센서스 없음 → 산출불가,1,Korea플러스배당,2.1,금융,은행,기업은행,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-13
108490,로보티즈,323500.0,47448.0,,컨센서스 없음 → 산출불가,1,코스닥,2.1,로봇·산업재,로봇,로보티즈,,보류,컨센서스 없음,,2026-09-13
042700,한미반도체,231000.0,220171.0,,컨센서스 없음 → 산출불가,1,코리아밸류업,2.02,반도체,후공정 장비,한미반도체,,보류,컨센서스 없음,,2026-09-13
000100,유한양행,79400.0,58451.0,,컨센서스 없음 → 산출불가,1,K바이오,2.0,바이오·헬스케어,제약,유한양행,,보류,컨센서스 없음,,2026-09-13
095340,ISC,190200.0,40317.0,,컨센서스 없음 → 산출불가,1,코스닥,1.98,반도체,테스트·후공정,ISC,,보류,컨센서스 없음,,2026-09-13
161580,필옵틱스,32050.0,7513.0,,컨센서스 없음 → 산출불가,1,코스닥,1.95,반도체,기판·PCB,필옵틱스,,보류,컨센서스 없음,,2026-09-13
035760,CJ ENM,35000.0,7675.0,,컨센서스 없음 → 산출불가,1,K컬처,1.84,엔터·게임·콘텐츠,미디어·콘텐츠,CJ ENM,,보류,컨센서스 없음,,2026-09-13
462870,시프트업,31400.0,18445.0,,컨센서스 없음 → 산출불가,1,K컬처,1.84,엔터·게임·콘텐츠,게임,시프트업,,보류,컨센서스 없음,,2026-09-13
039200,오스코텍,34900.0,13352.0,,컨센서스 없음 → 산출불가,1,K바이오,1.8,바이오·헬스케어,신약·플랫폼,오스코텍,,보류,컨센서스 없음,,2026-09-13
067310,하나마이크론,34400.0,22873.0,,컨센서스 없음 → 산출불가,1,코스닥,1.79,반도체,테스트·후공정,하나마이크론,,보류,컨센서스 없음,,2026-09-13
084370,유진테크,131500.0,30135.0,,컨센서스 없음 → 산출불가,1,코스닥,1.78,반도체,전공정 장비,유진테크,,보류,컨센서스 없음,,2026-09-13
131970,두산테스나,83800.0,16196.0,,컨센서스 없음 → 산출불가,1,코스닥,1.74,반도체,테스트·후공정,두산테스나,,보류,컨센서스 없음,,2026-09-13
138930,BNK금융지주,15930.0,48880.0,,컨센서스 없음 → 산출불가,1,Korea플러스배당,1.71,금융,은행,BNK금융지주,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-13
034020,두산에너빌리티,90800.0,581630.0,,컨센서스 없음 → 산출불가,1,코스피,1.55,미분류,-,두산에너빌리티,,보류,컨센서스 없음,,2026-09-13
089970,브이엠,48650.0,12808.0,,컨센서스 없음 → 산출불가,1,코스닥,1.51,반도체,전공정 장비,브이엠,,보류,컨센서스 없음,,2026-09-13
003530,한화투자증권,4785.0,10266.0,,컨센서스 없음 → 산출불가,1,Korea플러스배당,1.49,금융,증권,한화투자증권,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-13
016360,삼성증권,87400.0,78048.0,,컨센서스 없음 → 산출불가,1,Korea플러스배당,1.49,금융,증권,삼성증권,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-13
