종목코드,기업,현재가,시총(억),fPOR,fPER,fPER(사이트),PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(매출)3y,PEG(영익)3y,영업이익률(E),ROE(E),매출증가율1y,영익증가율1y,배당수익률,추정연도,비고,탈락조건,1차결과,보유ETF수,보유ETF,최대비중,기준일
067310,하나마이크론,35000.0,,,,10.59,,,,,,,15.68378345149789,42.71,59.02632950990616,199.68676585747843,0.27,2026.12(E),,,통과,1,코스닥,1.85,2026-08-22
462870,시프트업,31800.0,,,,13.6,,,,,,,49.62756052141527,13.95,-27.062818336162987,-41.2348401323043,,2026.12(E),,ROE<15%,통과,1,K컬처,1.83,2026-08-22
083650,비에이치아이,56500.0,,,,18.42,,,,,,,12.051104972375692,41.69,49.6447487404728,84.90066225165562,,2026.12(E),,,통과,1,K신재생에너지,1.8,2026-08-22
095340,ISC,154300.0,,,,36.71,,,,,,,32.629558541266796,15.39,41.96185286103542,69.7171381031614,0.77,2026.12(E),,,통과,1,코스닥,1.77,2026-08-22
039200,오스코텍,36700.0,,,,63.82,,,,,,,29.333333333333332,11.45,-24.849699398797597,-57.77351247600768,,2026.12(E),,ROE<15%,통과,1,K바이오,1.73,2026-08-22
084370,유진테크,128500.0,,,,20.71,,,,,,,20.46,26.87,42.73479874393378,97.87234042553192,0.31,2026.12(E),,,통과,1,코스닥,1.73,2026-08-22
059090,미코,17250.0,5764.0,,,,,,,,,,,,,,,2026.12(E),,,통과,1,코스닥,1.71,2026-08-22
035760,CJ ENM,31800.0,6973.0,0.13298115798306506,18.644385026737968,14.37,8.77448166084202,,159.98863621030262,1.4843715609511772,2.970683236331347,,2.524982836219391,1.73,2.1248417567435895,-0.3762227238525262,,2026.12(E),기저효과→PEG(영익)1y 산출불가,"ROE<15%,기저효과미보완",탈락,1,K컬처,1.68,2026-08-22
347700,스피어,23450.0,,,,25.7,,,,,,,5.2592592592592595,50.93,182.42677824267784,56.043956043956044,,2026.12(E),,,통과,1,코스닥,1.68,2026-08-22
016360,삼성증권,92000.0,,,,4.78,,,,,,,7.525457592162929,19.93,108.63391578536898,69.75357999563857,5.3,2026.12(E),,,통과,1,Korea플러스배당,1.62,2026-08-22
131970,두산테스나,76900.0,,,,40.37,,,,,,,12.343157280420193,8.13,12.767357683448498,,0.3,2026.12(E),기저효과→PEG(영익)1y 산출불가,"ROE<15%,기저효과미보완",탈락,1,코스닥,1.62,2026-08-22
138930,BNK금융지주,14310.0,,,,5.6,,,,,,,,7.22,,11.166500498504494,4.63,2026.12(E),,ROE<15%,통과,1,Korea플러스배당,1.61,2026-08-22
161580,필옵틱스,26400.0,6189.0,,,,,,,,,,,,,,,2026.12(E),기저효과→PEG(영익)1y 산출불가,기저효과미보완,통과,1,코스닥,1.61,2026-08-22
440110,파두,61900.0,,,,63.28,,,,,,,22.839345964183753,109.5,316.991341991342,,,2026.12(E),기저효과→PEG(영익)1y 산출불가,기저효과미보완,통과,1,코스닥,1.54,2026-08-22
192080,더블유게임즈,59400.0,,,,6.4,,,,,,,33.75864536131648,15.41,16.488401166828726,21.97328737613098,2.24,2026.12(E),,,통과,1,K이노베이션,1.53,2026-08-22
267260,HD현대일렉트릭,718000.0,,,,27.08,,,,,,,26.241753564588212,40.5,15.185684520161779,23.892293780769624,0.92,2026.12(E),,,통과,1,코리아밸류업,1.52,2026-08-22
005940,NH투자증권,26100.0,,,,5.77,,,,,,,6.491962964809921,16.94,163.4912292227843,64.9514289736731,6.16,2026.12(E),,,통과,1,Korea플러스배당,1.51,2026-08-22
003530,한화투자증권,4870.0,,,,,,,,,,,,,,,,2026.12(E),,,통과,1,Korea플러스배당,1.49,2026-08-22
397030,에이프릴바이오,19840.0,5458.0,,,,,,,,,,,,,,,2026.12(E),기저효과→PEG(영익)1y 산출불가,기저효과미보완,통과,1,K바이오,1.49,2026-08-22
064290,인텍플러스,32100.0,4159.0,3.8869158878504675,69.31666666666666,85.27,3.6189748062015514,,5.36074739401247,,5.468789963912947,,5.981308411214954,10.09,19.153674832962132,,,2026.12(E),기저효과→PEG(영익)1y 산출불가,"ROE<15%,기저효과미보완",탈락,1,코스닥,1.43,2026-08-22
031980,피에스케이홀딩스,107500.0,,,,16.73,,,,,,,39.519650655021834,24.67,32.24254090471608,47.956403269754766,2.33,2026.12(E),,,통과,1,코스닥,1.42,2026-08-22
006360,GS건설,33250.0,,,,18.83,,,,,,,3.801300637513606,3.11,-12.186051741725102,-5.070808588396525,2.54,2026.12(E),,ROE<15%,통과,1,코스피,1.41,2026-08-22
