종목코드,기업,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
456160,지투지바이오,실패: 기업실적분석 표 없음,1,K바이오,2.29,바이오·헬스케어,신약·플랫폼,지투지바이오,,보류,컨센서스 없음,,2026-09-11
214150,클래시스,실패: 기업실적분석 표 없음,1,K컬처,2.17,바이오·헬스케어,미용의료·의료기기,클래시스,,보류,컨센서스 없음,,2026-09-11
458870,씨어스,실패: 기업실적분석 표 없음,1,K바이오,2.11,바이오·헬스케어,미용의료·의료기기,씨어스,,보류,컨센서스 없음,,2026-09-11
024110,기업은행,실패: 기업실적분석 표 없음,1,Korea플러스배당,2.1,금융,은행,기업은행,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
108490,로보티즈,실패: 기업실적분석 표 없음,1,코스닥,2.1,로봇·산업재,로봇,로보티즈,,보류,컨센서스 없음,,2026-09-11
042700,한미반도체,실패: 기업실적분석 표 없음,1,코리아밸류업,2.02,반도체,후공정 장비,한미반도체,,보류,컨센서스 없음,,2026-09-11
000100,유한양행,실패: 기업실적분석 표 없음,1,K바이오,2.0,바이오·헬스케어,제약,유한양행,,보류,컨센서스 없음,,2026-09-11
095340,ISC,실패: 기업실적분석 표 없음,1,코스닥,1.98,반도체,테스트·후공정,ISC,,보류,컨센서스 없음,,2026-09-11
161580,필옵틱스,실패: 기업실적분석 표 없음,1,코스닥,1.95,반도체,기판·PCB,필옵틱스,,보류,컨센서스 없음,,2026-09-11
035760,CJ ENM,실패: 기업실적분석 표 없음,1,K컬처,1.84,엔터·게임·콘텐츠,미디어·콘텐츠,CJ ENM,,보류,컨센서스 없음,,2026-09-11
462870,시프트업,실패: 기업실적분석 표 없음,1,K컬처,1.84,엔터·게임·콘텐츠,게임,시프트업,,보류,컨센서스 없음,,2026-09-11
039200,오스코텍,실패: 기업실적분석 표 없음,1,K바이오,1.8,바이오·헬스케어,신약·플랫폼,오스코텍,,보류,컨센서스 없음,,2026-09-11
067310,하나마이크론,실패: 기업실적분석 표 없음,1,코스닥,1.79,반도체,테스트·후공정,하나마이크론,,보류,컨센서스 없음,,2026-09-11
084370,유진테크,실패: 기업실적분석 표 없음,1,코스닥,1.78,반도체,전공정 장비,유진테크,,보류,컨센서스 없음,,2026-09-11
131970,두산테스나,실패: 기업실적분석 표 없음,1,코스닥,1.74,반도체,테스트·후공정,두산테스나,,보류,컨센서스 없음,,2026-09-11
138930,BNK금융지주,실패: 기업실적분석 표 없음,1,Korea플러스배당,1.71,금융,은행,BNK금융지주,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
034020,두산에너빌리티,실패: 기업실적분석 표 없음,1,코스피,1.55,미분류,-,두산에너빌리티,,보류,컨센서스 없음,,2026-09-11
089970,브이엠,실패: 기업실적분석 표 없음,1,코스닥,1.51,반도체,전공정 장비,브이엠,,보류,컨센서스 없음,,2026-09-11
003530,한화투자증권,실패: 기업실적분석 표 없음,1,Korea플러스배당,1.49,금융,증권,한화투자증권,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
016360,삼성증권,실패: 기업실적분석 표 없음,1,Korea플러스배당,1.49,금융,증권,삼성증권,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
247540,에코프로비엠,실패: 기업실적분석 표 없음,1,코스닥,1.48,2차전지·에너지,소재,에코프로비엠,,보류,컨센서스 없음,,2026-09-11
005940,NH투자증권,실패: 기업실적분석 표 없음,1,Korea플러스배당,1.45,금융,증권,NH투자증권,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
006360,GS건설,실패: 기업실적분석 표 없음,1,코스피,1.45,로봇·산업재,플랜트·건설,GS건설,,보류,컨센서스 없음,,2026-09-11
161890,한국콜마,실패: 기업실적분석 표 없음,1,K컬처,1.43,미분류,-,한국콜마,,보류,컨센서스 없음,,2026-09-11
051910,LG화학,실패: 기업실적분석 표 없음,1,K신재생에너지,1.41,2차전지·에너지,소재,LG화학,,보류,컨센서스 없음,,2026-09-11
267260,HD현대일렉트릭,실패: 기업실적분석 표 없음,1,코리아밸류업,1.4,AI·전력인프라,변압기·전력기기,HD현대일렉트릭,,보류,컨센서스 없음,,2026-09-11
010140,삼성중공업,실패: 기업실적분석 표 없음,1,K신재생에너지,1.37,조선·방산·우주,조선,삼성중공업,,보류,컨센서스 없음,,2026-09-11
950260,인제니아테라퓨틱스(Reg.S),실패: 기업실적분석 표 없음,1,K바이오,1.37,미분류,-,인제니아테라퓨틱스(Reg.S),,보류,컨센서스 없음,,2026-09-11
059090,미코,실패: 기업실적분석 표 없음,1,코스닥,1.33,반도체,소재·부품,미코,,보류,컨센서스 없음,,2026-09-11
140860,파크시스템스,실패: 기업실적분석 표 없음,1,코스닥,1.26,반도체,검사·계측,파크시스템스,,보류,컨센서스 없음,,2026-09-11
175330,JB금융지주,실패: 기업실적분석 표 없음,1,Korea플러스배당,1.24,금융,은행,JB금융지주,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
003470,유안타증권,실패: 기업실적분석 표 없음,1,Korea플러스배당,1.22,금융,증권,유안타증권,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
356860,티엘비,실패: 기업실적분석 표 없음,1,코스닥,1.19,반도체,기판·PCB,티엘비,,보류,컨센서스 없음,,2026-09-11
389470,인벤티지랩,실패: 기업실적분석 표 없음,1,K바이오,1.19,바이오·헬스케어,신약·플랫폼,인벤티지랩,,보류,컨센서스 없음,,2026-09-11
253450,스튜디오드래곤,실패: 기업실적분석 표 없음,1,K컬처,1.15,엔터·게임·콘텐츠,미디어·콘텐츠,스튜디오드래곤,,보류,컨센서스 없음,,2026-09-11
483650,달바글로벌,실패: 기업실적분석 표 없음,1,K컬처,1.11,화장품·뷰티,브랜드·디바이스,달바글로벌,,보류,컨센서스 없음,,2026-09-11
082920,비츠로셀,실패: 기업실적분석 표 없음,1,코스닥,1.07,2차전지·에너지,셀,비츠로셀,,보류,컨센서스 없음,,2026-09-11
